amfi_code,date,nav,fund_name,fund_house,scheme_category
,2017-10-26,54.1288,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-10-27,54.5232,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-10-30,55.0944,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-10-31,55.4171,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-11-01,55.8753,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-11-02,56.6875,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-11-03,57.5792,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-11-06,57.8698,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-11-07,57.5758,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-11-08,57.2373,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-11-09,58.0804,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-11-10,57.7898,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-11-13,57.8186,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-11-14,57.9063,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-11-15,57.2689,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-11-16,58.0829,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-11-17,58.6486,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-11-20,59.2067,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-11-21,59.6667,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-11-22,60.0691,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-11-23,60.5408,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-11-24,61.0875,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-11-27,61.2762,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-11-28,61.8321,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-11-29,61.933,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-11-30,61.9529,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-12-01,61.4989,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-12-04,61.3177,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-12-05,61.5105,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-12-06,61.4633,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-12-07,61.9916,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-12-08,62.8436,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-12-11,63.6318,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-12-12,63.3879,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-12-13,62.8065,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-12-14,62.7841,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-12-15,63.3238,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-12-18,63.8694,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-12-19,65.2296,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-12-20,65.8782,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-12-21,66.4699,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-12-22,66.208,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-12-26,66.0961,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-12-27,66.0456,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-12-28,66.3183,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2017-12-29,66.1565,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-01-01,66.1953,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-01-02,65.5915,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-01-03,67.0627,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-01-04,67.8023,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-01-05,68.8684,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-01-08,69.0661,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-01-09,68.6975,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-01-10,68.6873,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
